FID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
33,44,RHODE ISLAND,RI,44003,Kent,44003021300,"Census Tract 213, Kent County, Rhode Island",1.6111175,4947.0,289.0,2237.0,63.0,2139.0,109.0,223.0,116.0,186.0,86.0,35877.0,3482.0,157.0,92.0,1084.0,152.0,758.0,124.0,832.0,245.0,161.0,78.7,629.0,452.4,0.0,48.0,16.0,29.5,18.0,28.0,0.0,17.0,141.0,82.0,18.0,15.0,4.5,2.4,6.5,3.2,35877.0,3482.0,4.1,2.4,21.9,2.8,15.3,2.3,16.8,4.7,7.5,3.7,12.7,9.1,0.0,1.0,0.7,1.3,0.8,1.2,0.0,0.8,6.6,3.8,0.4,0.3,0.1632,0.4268,0.3222,0.1255,1.0377,0.205,0.8536,0.1632,0.795,0.4937,2.3054,0.6987,0.4477,0.0,0.4477,0.205,0.159,0.7908,0.0,0.4686,0.4477,1.8661,0.3682,5.6569,0.2929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,74.0,2.3,1.5,2385.0
34,44,RHODE ISLAND,RI,44003,Kent,44003021401,"Census Tract 214.01, Kent County, Rhode Island",0.942824,3762.0,222.0,1560.0,40.0,1393.0,93.0,121.0,58.0,141.0,55.0,30860.0,2173.0,147.0,74.0,657.0,66.0,752.0,97.0,410.0,104.0,128.0,66.9,364.0,335.8,33.0,53.3,121.0,51.4,8.0,13.0,26.0,22.6,30.0,28.0,26.0,23.0,3.2,1.6,6.5,2.5,30860.0,2173.0,5.3,2.6,17.5,1.8,20.0,2.3,10.9,2.7,9.2,4.8,9.7,8.9,0.9,1.5,7.8,3.3,0.5,0.8,1.9,1.6,2.2,2.0,0.7,0.6,0.0795,0.4268,0.5272,0.1799,1.2134,0.2803,0.5941,0.5356,0.2552,0.6067,1.9916,0.5021,0.3849,0.3724,0.7573,0.3975,0.477,0.749,0.6485,0.1213,0.5481,2.5439,0.682,6.5063,0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,140.0,6.9,3.6,4099.0
35,44,RHODE ISLAND,RI,44003,Kent,44003021402,"Census Tract 214.02, Kent County, Rhode Island",0.846797,3857.0,280.0,1606.0,39.0,1565.0,66.0,255.0,152.0,191.0,107.0,31126.0,3112.0,266.0,123.0,567.0,48.0,738.0,166.0,517.0,188.0,118.0,67.9,559.0,372.1,10.0,49.2,182.0,87.8,0.0,12.0,0.0,17.0,62.0,53.0,33.0,60.0,6.6,4.0,8.2,4.4,31126.0,3112.0,9.6,4.2,14.7,1.4,19.1,4.1,13.4,4.6,7.5,4.3,14.5,9.6,0.3,1.4,11.3,5.5,0.0,2.2,0.0,1.1,4.0,3.4,0.9,1.6,0.3138,0.6151,0.5105,0.477,1.9163,0.5188,0.3766,0.4435,0.5146,0.4979,1.8326,0.3473,0.4937,0.1925,0.6862,0.3389,0.5858,0.0,0.0,0.2594,0.5941,1.4393,0.2008,5.8745,0.3222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,109.0,5.2,2.9,1818.0
36,44,RHODE ISLAND,RI,44003,Kent,44003021501,"Census Tract 215.01, Kent County, Rhode Island",0.7631271,3072.0,216.0,1418.0,54.0,1279.0,89.0,222.0,146.0,93.0,46.0,30516.0,2725.0,200.0,80.0,496.0,66.0,599.0,120.0,407.0,120.0,142.0,71.8,229.0,304.1,21.0,55.9,39.0,26.9,0.0,12.0,16.0,18.4,65.0,38.0,29.0,15.0,7.3,4.7,5.3,2.7,30516.0,2725.0,8.9,3.5,16.1,2.3,19.5,3.7,13.4,3.9,11.1,5.6,7.5,9.9,0.7,1.9,2.8,1.9,0.0,2.4,1.3,1.4,5.1,2.9,0.9,0.5,0.3389,0.2803,0.5397,0.4184,1.5774,0.3975,0.5146,0.4895,0.5146,0.6987,2.2176,0.6402,0.2552,0.3347,0.59,0.2845,0.2678,0.0,0.569,0.3515,0.6151,1.8033,0.3264,6.1883,0.3891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,61.0,4.0,2.0,936.0
37,44,RHODE ISLAND,RI,44003,Kent,44003021502,"Census Tract 215.02, Kent County, Rhode Island",1.4462701,4214.0,239.0,1836.0,46.0,1708.0,84.0,455.0,239.0,302.0,119.0,30851.0,3234.0,345.0,100.0,626.0,79.0,830.0,104.0,760.0,192.0,108.0,66.8,455.0,368.1,11.0,49.8,20.0,24.2,0.0,12.0,7.0,17.7,28.0,25.0,13.0,15.0,10.9,5.8,12.1,4.7,30851.0,3234.0,11.6,3.2,14.9,1.6,19.7,2.2,18.2,4.5,6.3,3.9,10.8,8.7,0.3,1.2,1.1,1.3,0.0,1.9,0.4,1.0,1.6,1.5,0.3,0.4,0.5314,0.8619,0.5314,0.5941,2.5188,0.6778,0.4059,0.5021,0.8996,0.41,2.2176,0.6485,0.4017,0.1841,0.5858,0.2803,0.1674,0.0,0.3305,0.0795,0.4142,0.9916,0.0669,6.3138,0.4435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,183.0,5.9,4.4,2031.0
38,44,RHODE ISLAND,RI,44003,Kent,44003021600,"Census Tract 216, Kent County, Rhode Island",1.4384952,1427.0,128.0,668.0,18.0,563.0,46.0,29.0,20.0,30.0,23.0,64905.0,14037.0,60.0,47.0,366.0,78.0,233.0,73.0,135.0,50.0,15.0,14.9,117.0,168.1,8.0,48.5,0.0,17.0,0.0,12.0,4.0,13.9,0.0,12.0,7.0,10.0,2.1,1.5,3.7,2.8,64905.0,14037.0,5.2,4.1,25.6,5.3,16.3,4.9,9.5,3.3,2.7,2.6,8.2,11.8,0.6,3.5,0.0,2.5,0.0,5.1,0.7,2.5,0.0,6.0,0.5,0.7,0.0293,0.113,0.0084,0.1757,0.3264,0.0209,0.9372,0.2092,0.1381,0.0921,1.3766,0.113,0.3054,0.2929,0.5983,0.2971,0.0,0.0,0.4393,0.0,0.5063,0.9456,0.0628,3.2469,0.0167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,21.0,2.0,1.4,556.0
39,44,RHODE ISLAND,RI,44003,Kent,44003021700,"Census Tract 217, Kent County, Rhode Island",0.9939802,4145.0,347.0,2073.0,63.0,1693.0,156.0,269.0,133.0,255.0,111.0,25584.0,2300.0,544.0,146.0,592.0,84.0,821.0,179.0,789.0,216.0,56.0,36.4,292.0,486.5,8.0,48.3,0.0,17.0,5.0,7.0,0.0,17.0,88.0,51.0,9.0,15.0,6.5,3.2,11.3,4.6,25584.0,2300.0,17.3,4.4,14.3,2.3,19.8,4.0,19.1,5.2,3.3,2.1,7.0,11.7,0.2,1.2,0.0,0.8,0.2,0.3,0.0,1.0,5.2,3.1,0.2,0.4,0.3013,0.8326,0.7071,0.7364,2.5774,0.7029,0.364,0.5272,0.9372,0.1255,1.954,0.4644,0.2259,0.1339,0.3598,0.1632,0.0,0.7322,0.0,0.364,0.3222,1.4184,0.1883,6.3096,0.4351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.0,151.0,8.6,3.5,1932.0
40,44,RHODE ISLAND,RI,44003,Kent,44003021800,"Census Tract 218, Kent County, Rhode Island",1.3197766,4283.0,276.0,1803.0,40.0,1687.0,94.0,223.0,98.0,149.0,72.0,30490.0,2566.0,212.0,86.0,703.0,116.0,823.0,121.0,576.0,166.0,187.0,93.0,349.0,390.3,42.0,61.9,364.0,101.2,0.0,12.0,14.0,20.8,105.0,51.0,5.0,10.0,5.2,2.4,6.2,2.9,30490.0,2566.0,6.9,2.7,16.4,2.5,19.2,2.5,13.4,3.9,11.1,5.5,8.1,9.1,1.1,1.5,20.2,5.6,0.0,1.9,0.8,1.2,6.2,2.9,0.1,0.2,0.2218,0.3808,0.5439,0.272,1.4184,0.3598,0.5356,0.4477,0.5146,0.6946,2.1925,0.6276,0.2971,0.4059,0.7029,0.3556,0.8201,0.0,0.4644,0.4393,0.2218,1.9456,0.4017,6.2594,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,108.0,6.3,2.5,4749.0
41,44,RHODE ISLAND,RI,44003,Kent,44003021901,"Census Tract 219.01, Kent County, Rhode Island",0.9135953,3307.0,249.0,1474.0,69.0,1395.0,80.0,148.0,96.0,48.0,33.0,30847.0,2397.0,144.0,64.0,572.0,60.0,562.0,116.0,474.0,128.0,69.0,53.4,340.0,383.8,29.0,57.0,216.0,67.7,0.0,12.0,37.0,36.7,90.0,48.0,0.0,12.0,4.5,2.9,2.5,1.7,30847.0,2397.0,5.9,2.6,17.3,2.2,17.0,3.3,14.3,4.2,4.9,3.8,10.3,11.6,0.9,1.8,14.7,4.5,0.0,2.3,2.7,2.6,6.5,3.4,0.0,0.4,0.1632,0.0502,0.5356,0.2218,0.9707,0.1757,0.5732,0.2594,0.6569,0.2594,1.749,0.2845,0.3975,0.364,0.7615,0.4017,0.6862,0.0,0.7406,0.4644,0.0,1.8912,0.3849,5.3724,0.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,69.0,2.9,2.0,2354.0
42,44,RHODE ISLAND,RI,44003,Kent,44003021902,"Census Tract 219.02, Kent County, Rhode Island",0.8322884,2639.0,212.0,1245.0,35.0,1144.0,75.0,275.0,154.0,98.0,65.0,34809.0,8044.0,223.0,126.0,495.0,115.0,464.0,98.0,382.0,114.0,49.0,38.9,255.0,295.6,61.0,80.2,278.0,80.1,0.0,12.0,25.0,31.4,205.0,88.0,16.0,21.0,10.5,5.6,6.3,4.0,34809.0,8044.0,11.3,6.3,18.8,4.1,17.6,3.4,14.5,4.0,4.3,3.4,9.7,11.2,2.4,3.2,22.3,6.4,0.0,2.8,2.2,2.7,17.9,7.0,0.6,0.8,0.4937,0.4059,0.3682,0.569,1.8368,0.4895,0.6862,0.3054,0.6778,0.2176,1.887,0.4059,0.3808,0.5941,0.9749,0.5146,0.8745,0.0,0.6862,0.8243,0.5439,2.9289,0.8159,7.6276,0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,82.0,6.4,3.1,2087.0
43,44,RHODE ISLAND,RI,44003,Kent,44003021903,"Census Tract 219.03, Kent County, Rhode Island",1.4846796,3887.0,232.0,1731.0,40.0,1667.0,69.0,195.0,109.0,193.0,87.0,40319.0,6246.0,163.0,64.0,879.0,91.0,595.0,113.0,522.0,134.0,98.0,60.4,375.0,325.3,18.0,51.4,68.0,39.7,0.0,12.0,10.0,21.6,68.0,46.0,5.0,5.0,5.0,2.8,8.3,3.4,40319.0,6246.0,5.3,2.0,22.6,2.6,15.3,2.8,13.4,3.5,5.9,3.6,9.6,8.3,0.5,1.4,3.9,2.3,0.0,2.0,0.6,1.3,4.1,2.8,0.1,0.1,0.2134,0.6192,0.2259,0.1799,1.2385,0.2887,0.8787,0.159,0.5146,0.3473,1.8996,0.4184,0.3724,0.251,0.6234,0.3138,0.3515,0.0,0.3891,0.2803,0.2343,1.2552,0.1381,5.0167,0.1841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,83.0,4.4,2.1,1970.0
44,44,RHODE ISLAND,RI,44003,Kent,44003022000,"Census Tract 220, Kent County, Rhode Island",1.2461172,3382.0,223.0,1712.0,58.0,1541.0,94.0,232.0,125.0,114.0,65.0,38181.0,3596.0,199.0,90.0,684.0,100.0,541.0,77.0,440.0,117.0,110.0,63.5,194.0,303.6,22.0,53.2,194.0,72.3,0.0,12.0,6.0,15.6,60.0,34.0,113.0,75.0,7.1,3.7,5.6,3.0,38181.0,3596.0,7.1,3.2,20.2,2.8,16.0,2.0,13.4,3.3,7.1,4.1,5.7,9.0,0.7,1.7,11.3,4.2,0.0,2.0,0.4,1.0,3.9,2.2,3.3,2.2,0.3222,0.3222,0.272,0.2971,1.2134,0.2762,0.7573,0.1967,0.5146,0.4812,1.9498,0.4519,0.1423,0.3264,0.4686,0.2134,0.5816,0.0,0.3264,0.2427,0.8033,1.954,0.4059,5.5858,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,109.0,6.9,3.4,3296.0
45,44,RHODE ISLAND,RI,44003,Kent,44003022100,"Census Tract 221, Kent County, Rhode Island",3.0371467,5732.0,366.0,2502.0,52.0,2362.0,112.0,593.0,318.0,219.0,132.0,34587.0,3884.0,477.0,197.0,1439.0,171.0,1067.0,139.0,848.0,230.0,134.0,101.2,349.0,490.1,40.0,75.6,109.0,70.1,0.0,17.0,0.0,24.0,69.0,59.0,208.0,143.0,10.7,6.0,7.4,4.4,34587.0,3884.0,11.1,4.5,25.1,2.6,18.6,2.1,15.3,3.9,5.7,4.3,6.1,8.5,0.7,1.4,4.4,2.8,0.0,1.4,0.0,1.0,2.9,2.5,3.6,2.5,0.5105,0.523,0.3808,0.5481,1.9623,0.5356,0.9247,0.3975,0.7322,0.3305,2.3849,0.7406,0.159,0.3389,0.4979,0.2259,0.3556,0.0,0.0,0.1757,0.8326,1.364,0.1674,6.2092,0.4059,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,257.0,139.0,4.6,2.5,17997.0
46,44,RHODE ISLAND,RI,44003,Kent,44003022201,"Census Tract 222.01, Kent County, Rhode Island",3.5182078,6632.0,276.0,2983.0,86.0,2901.0,102.0,321.0,193.0,355.0,162.0,53364.0,6354.0,147.0,92.0,1347.0,156.0,1084.0,112.0,844.0,247.0,53.0,42.8,808.0,510.1,78.0,92.0,660.0,172.0,0.0,17.0,7.0,21.4,185.0,103.0,5.0,12.0,4.9,2.9,8.9,3.9,53364.0,6354.0,2.9,1.8,20.3,2.4,16.3,1.5,12.7,3.6,1.8,1.5,12.2,7.7,1.2,1.5,22.1,5.7,0.0,1.2,0.2,0.7,6.4,3.5,0.1,0.2,0.2008,0.6736,0.0418,0.0544,0.9707,0.1799,0.7615,0.2176,0.4561,0.0377,1.4728,0.1548,0.4268,0.4477,0.8745,0.4603,0.8703,0.0,0.3013,0.4561,0.1757,1.8033,0.3222,5.1213,0.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,148.0,3.7,2.2,5215.0
47,44,RHODE ISLAND,RI,44003,Kent,44003022202,"Census Tract 222.02, Kent County, Rhode Island",3.0422563,4136.0,350.0,2274.0,65.0,2192.0,102.0,228.0,82.0,110.0,83.0,36295.0,3234.0,209.0,88.0,1131.0,232.0,649.0,207.0,852.0,140.0,132.0,93.7,584.0,471.5,33.0,51.3,1642.0,207.3,0.0,12.0,10.0,20.0,204.0,74.0,154.0,94.0,5.7,2.1,5.5,4.0,36295.0,3234.0,6.3,2.5,27.3,5.8,15.7,4.8,21.4,3.9,6.0,4.3,14.1,11.3,0.8,1.3,72.2,8.9,0.0,1.5,0.5,0.9,9.3,3.4,3.7,2.3,0.2636,0.318,0.318,0.2385,1.1381,0.2427,0.9665,0.1799,0.9874,0.3682,2.5021,0.8201,0.4728,0.3598,0.8326,0.4435,0.9958,0.0,0.3473,0.5983,0.841,2.7824,0.7782,7.2552,0.5774,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,175.0,183.0,4.4,4.5,8991.0
48,44,RHODE ISLAND,RI,44003,Kent,44003022300,"Census Tract 223, Kent County, Rhode Island",2.4199341,4060.0,390.0,2247.0,56.0,2031.0,145.0,493.0,211.0,52.0,49.0,31334.0,3748.0,524.0,175.0,943.0,157.0,719.0,171.0,786.0,205.0,129.0,110.7,548.0,548.7,145.0,124.9,858.0,199.3,81.0,54.0,4.0,17.7,365.0,164.0,5.0,4.0,12.1,5.3,2.5,2.4,31334.0,3748.0,16.7,5.2,23.2,3.8,17.7,3.9,19.4,4.9,6.4,5.4,13.5,13.5,3.8,3.3,38.2,8.8,3.6,2.4,0.2,0.9,18.0,7.9,0.1,0.1,0.569,0.0502,0.4979,0.7113,1.8285,0.4854,0.8912,0.3138,0.9456,0.4184,2.569,0.8536,0.4644,0.6736,1.1381,0.59,0.9749,0.9163,0.2887,0.8285,0.2259,3.2343,0.8954,8.7699,0.7406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,289.0,194.0,7.1,4.7,9242.0
49,44,RHODE ISLAND,RI,44003,Kent,44003022400,"Census Tract 224, Kent County, Rhode Island",2.5812938,2340.0,200.0,1012.0,29.0,961.0,45.0,39.0,27.0,89.0,39.0,46888.0,9444.0,79.0,35.0,378.0,49.0,401.0,91.0,336.0,83.0,32.0,33.2,189.0,285.0,5.0,47.2,71.0,32.4,0.0,12.0,14.0,25.9,29.0,21.0,0.0,12.0,1.7,1.2,6.3,2.8,46888.0,9444.0,4.6,1.9,16.2,2.3,17.1,3.6,14.4,3.2,3.3,3.5,8.1,12.2,0.2,2.1,7.0,3.2,0.0,3.4,1.5,2.7,3.0,2.2,0.0,0.5,0.0126,0.4059,0.1004,0.1423,0.6611,0.0586,0.5272,0.2636,0.6611,0.1297,1.5816,0.205,0.2929,0.1464,0.4393,0.2008,0.4561,0.0,0.5858,0.1925,0.0,1.2343,0.1213,3.9163,0.0586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,56.0,3.5,2.3,1144.0
50,44,RHODE ISLAND,RI,44005,Newport,44005040101,"Census Tract 401.01, Newport County, Rhode Island",2.3258792,5041.0,324.0,2315.0,94.0,2048.0,139.0,364.0,147.0,253.0,96.0,42573.0,5659.0,260.0,101.0,910.0,105.0,1049.0,179.0,564.0,115.0,214.0,92.2,368.0,463.9,7.0,66.8,0.0,24.0,240.0,74.0,42.0,36.7,58.0,50.0,227.0,85.0,7.6,3.1,9.3,3.4,42573.0,5659.0,7.4,2.9,18.1,2.4,20.8,3.3,11.2,2.2,10.4,4.4,7.3,9.2,0.1,1.4,0.0,1.0,10.4,3.1,2.1,1.8,2.8,2.4,4.5,1.7,0.3682,0.7071,0.1925,0.3222,1.59,0.4017,0.6402,0.6318,0.3096,0.6695,2.251,0.6653,0.2469,0.1172,0.364,0.1674,0.0,0.9874,0.6695,0.1548,0.8619,2.6736,0.7406,6.8787,0.5272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,232.0,118.0,4.6,2.3,1915.0
51,44,RHODE ISLAND,RI,44005,Newport,44005040102,"Census Tract 401.02, Newport County, Rhode Island",5.9087961,5662.0,325.0,2519.0,137.0,2317.0,151.0,302.0,179.0,171.0,97.0,59024.0,8113.0,334.0,243.0,1226.0,172.0,1169.0,120.0,777.0,286.0,132.0,74.2,415.0,524.0,0.0,68.0,58.0,49.0,0.0,17.0,0.0,24.0,117.0,105.0,5.0,3.0,5.4,3.2,5.7,3.2,59024.0,8113.0,8.1,5.9,21.7,2.7,20.6,1.8,13.8,4.9,5.7,3.2,7.3,9.2,0.0,1.2,2.3,1.9,0.0,1.4,0.0,1.0,5.0,4.4,0.1,0.1,0.2343,0.3347,0.0209,0.3598,0.9498,0.1674,0.8326,0.5983,0.5983,0.3389,2.3682,0.7364,0.251,0.0,0.251,0.1004,0.2385,0.0,0.0,0.3431,0.1925,0.7741,0.046,4.3431,0.0921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,126.0,3.4,2.2,4443.0
52,44,RHODE ISLAND,RI,44005,Newport,44005040103,"Census Tract 401.03, Newport County, Rhode Island",14.7625752,6648.0,371.0,3623.0,149.0,2798.0,162.0,502.0,258.0,205.0,116.0,44068.0,5503.0,222.0,114.0,1499.0,158.0,1361.0,142.0,794.0,166.0,107.0,76.9,585.0,516.3,21.0,70.8,440.0,131.8,93.0,38.0,0.0,24.0,85.0,87.0,91.0,101.0,7.6,4.0,6.2,3.2,44068.0,5503.0,4.5,2.3,22.5,2.4,20.5,1.8,12.2,2.5,3.8,2.7,8.8,7.8,0.3,1.1,12.1,3.6,2.6,1.1,0.0,0.9,3.0,3.1,1.4,1.5,0.3682,0.3808,0.1464,0.1339,1.0293,0.1967,0.8661,0.5732,0.3975,0.1674,2.0042,0.5105,0.3305,0.205,0.5356,0.251,0.6109,0.9038,0.0,0.1925,0.6527,2.3598,0.59,5.9289,0.3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,378.0,176.0,5.8,2.7,9620.0
53,44,RHODE ISLAND,RI,44005,Newport,44005040200,"Census Tract 402, Newport County, Rhode Island",0.9013385,1314.0,160.0,593.0,56.0,529.0,65.0,115.0,72.0,27.0,29.0,22618.0,2736.0,32.0,25.0,55.0,26.0,340.0,75.0,98.0,41.0,41.0,25.6,523.0,229.8,17.0,45.8,0.0,17.0,0.0,12.0,10.0,17.0,6.0,10.0,0.0,12.0,8.8,5.4,4.7,5.0,22618.0,2736.0,4.0,3.1,4.2,2.0,25.9,4.8,8.6,3.4,7.8,4.8,39.8,16.8,1.4,3.8,0.0,2.9,0.0,5.7,1.9,3.2,1.1,1.9,0.0,0.9,0.4184,0.2218,0.7824,0.113,1.5356,0.3766,0.0209,0.8368,0.1088,0.5105,1.477,0.1632,0.7782,0.4812,1.2594,0.6402,0.0,0.0,0.6569,0.0544,0.0,0.7113,0.0418,4.9833,0.1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,62.0,7.6,5.2,1330.0
54,44,RHODE ISLAND,RI,44005,Newport,44005040302,"Census Tract 403.02, Newport County, Rhode Island",0.7929879,2405.0,225.0,1194.0,87.0,1106.0,102.0,85.0,57.0,72.0,58.0,32423.0,3635.0,85.0,50.0,513.0,73.0,458.0,142.0,323.0,107.0,107.0,59.4,389.0,355.3,0.0,48.0,74.0,39.8,78.0,42.0,0.0,17.0,137.0,83.0,6.0,3.0,3.5,2.4,5.4,4.2,32423.0,3635.0,4.9,2.9,21.3,3.6,19.0,5.6,13.5,4.6,9.7,5.3,16.2,14.7,0.0,2.1,6.2,3.3,6.5,3.5,0.0,1.5,12.4,7.0,0.2,0.1,0.0962,0.2971,0.4519,0.159,1.0042,0.1925,0.8075,0.4268,0.5607,0.6192,2.4142,0.7657,0.5314,0.0,0.5314,0.2469,0.4226,0.9582,0.0,0.6862,0.3556,2.4226,0.6192,6.3724,0.4519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,228.0,133.0,9.6,5.5,2387.0
55,44,RHODE ISLAND,RI,44005,Newport,44005040303,"Census Tract 403.03, Newport County, Rhode Island",1.4993727,3080.0,277.0,1330.0,81.0,1183.0,93.0,532.0,190.0,105.0,51.0,25561.0,2647.0,172.0,82.0,293.0,59.0,1010.0,162.0,301.0,81.0,186.0,71.1,1153.0,384.7,40.0,57.0,264.0,90.0,0.0,12.0,29.0,36.1,63.0,42.0,23.0,9.0,17.3,6.1,7.1,3.5,25561.0,2647.0,8.9,4.1,9.5,2.1,32.8,4.4,10.2,2.7,15.7,5.9,37.4,12.0,1.4,2.0,19.8,6.7,0.0,2.6,2.5,3.0,5.3,3.6,0.7,0.3,0.6946,0.4937,0.7113,0.4184,2.318,0.6318,0.1715,0.9874,0.1757,0.795,2.1297,0.5858,0.7699,0.4728,1.2427,0.6318,0.8075,0.0,0.7155,0.3849,0.5607,2.4686,0.6402,8.159,0.6946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283.0,132.0,9.6,4.3,2525.0
